date,top_feature,top_attribution
2021-06-01,olr_anomaly,1.1804
2021-06-02,olr_anomaly,1.1804
2021-06-03,olr_anomaly,1.1697
2021-06-04,olr_anomaly,1.1419
2021-06-05,orographic_index,1.1211
2021-06-06,orographic_index,1.1192
2021-06-07,olr_anomaly,1.1406
2021-06-08,olr_anomaly,1.1406
2021-06-09,olr_anomaly,1.1387
2021-06-10,coastal_convergence_index,0.9556
2021-06-11,coastal_convergence_index,0.9512
2021-06-12,coastal_convergence_index,2.0602
2021-06-13,coastal_convergence_index,0.8725
2021-06-14,lps_flag,10.3325
2021-06-15,lps_flag,10.3325
2021-06-16,rainfall_anomaly,8.0534
2021-06-17,rainfall_anomaly,7.2476
2021-06-18,rainfall_anomaly,8.0534
2021-06-19,rainfall_anomaly,8.0534
2021-06-20,rainfall_anomaly,8.0534
2021-06-21,rainfall_anomaly,8.0534
2021-06-22,rainfall_anomaly,8.0474
2021-06-23,coastal_convergence_index,0.9221
2021-06-24,orographic_index,1.2019
2021-06-25,olr_anomaly,1.1323
2021-06-26,olr_anomaly,1.2852
2021-06-27,orographic_index,1.1267
2021-06-28,orographic_index,1.1188
2021-06-29,olr_anomaly,1.171
2021-06-30,olr_anomaly,1.171
2021-07-01,olr_anomaly,1.171
2021-07-02,olr_anomaly,1.171
2021-07-03,olr_anomaly,1.171
2021-07-04,olr_anomaly,1.171
2021-07-05,olr_anomaly,1.1664
2021-07-06,olr_anomaly,1.1664
2021-07-07,olr_anomaly,1.2872
2021-07-08,olr_anomaly,1.2852
2021-07-09,olr_anomaly,1.1323
2021-07-10,olr_anomaly,1.1323
2021-07-11,olr_anomaly,1.1323
2021-07-12,olr_anomaly,1.2852
2021-07-13,olr_anomaly,1.1303
2021-07-14,coastal_convergence_index,0.9536
2021-07-15,coastal_convergence_index,0.9314
2021-07-16,rainfall_anomaly,8.0468
2021-07-17,rainfall_anomaly,8.0534
2021-07-18,rainfall_anomaly,7.2476
2021-07-19,rainfall_anomaly,8.0534
2021-07-20,rainfall_anomaly,8.0534
2021-07-21,rainfall_anomaly,7.2476
2021-07-22,rainfall_anomaly,7.252
2021-07-23,lps_flag,10.3325
2021-07-24,lps_flag,10.3325
2021-07-25,lps_flag,10.3325
2021-07-26,lps_flag,10.3325
2021-07-27,olr_anomaly,1.2871
2021-07-28,olr_anomaly,1.2872
2021-07-29,olr_anomaly,1.1304
2021-07-30,orographic_index,1.1267
2021-07-31,olr_anomaly,1.171
2021-08-01,olr_anomaly,1.2852
2021-08-02,olr_anomaly,1.2852
2021-08-03,olr_anomaly,1.2872
2021-08-04,olr_anomaly,1.2872
2021-08-05,olr_anomaly,1.2872
2021-08-06,olr_anomaly,1.2872
2021-08-07,olr_anomaly,1.2872
2021-08-08,olr_anomaly,1.1664
2021-08-09,olr_anomaly,1.171
2021-08-10,olr_anomaly,1.171
2021-08-11,olr_anomaly,1.171
2021-08-12,orographic_index,1.1209
2021-08-13,olr_anomaly,1.171
2021-08-14,orographic_index,1.1188
2021-08-15,olr_anomaly,1.2872
2021-08-16,olr_anomaly,1.2872
2021-08-17,orographic_index,1.3605
2021-08-18,coastal_convergence_index,2.0234
2021-08-19,coastal_convergence_index,0.8308
2021-08-20,lps_flag,10.3325
2021-08-21,lps_flag,10.3325
2021-08-22,rainfall_anomaly,8.0534
2021-08-23,rainfall_anomaly,7.2476
2021-08-24,rainfall_anomaly,8.0534
2021-08-25,rainfall_anomaly,8.0534
2021-08-26,rainfall_anomaly,8.0468
2021-08-27,zonal_shear_850,1.1123
2021-08-28,coastal_convergence_index,0.9376
2021-08-29,coastal_convergence_index,0.9472
2021-08-30,orographic_index,1.1197
2021-08-31,orographic_index,1.1276
2021-09-01,orographic_index,1.1271
2021-09-02,olr_anomaly,1.2852
2021-09-03,olr_anomaly,1.1323
2021-09-04,olr_anomaly,1.1323
2021-09-05,orographic_index,1.3444
2021-09-06,olr_anomaly,1.2872
2021-09-07,olr_anomaly,1.2852
2021-09-08,olr_anomaly,1.1664
2021-09-09,olr_anomaly,1.171
2021-09-10,olr_anomaly,1.171
2021-09-11,olr_anomaly,1.171
2021-09-12,olr_anomaly,1.171
2021-09-13,olr_anomaly,1.1426
2021-09-14,zonal_shear_850,0.8249
2021-09-15,coastal_convergence_index,0.9454
2021-09-16,lps_flag,10.3325
2021-09-17,lps_flag,10.3325
2021-09-18,olr_anomaly,1.1323
2021-09-19,orographic_index,1.3529
2021-09-20,rainfall_anomaly,8.0473
2021-09-21,rainfall_anomaly,8.0474
2021-09-22,rainfall_anomaly,8.0474
2021-09-23,zonal_shear_850,1.0301
2021-09-24,wd_flag,13.1153
2021-09-25,wd_flag,13.1153
2021-09-26,zonal_shear_850,1.1049
2021-09-27,rainfall_anomaly,8.0474
2021-09-28,rainfall_anomaly,8.0474
2021-09-29,rainfall_anomaly,8.0474
2021-09-30,rainfall_anomaly,8.0474
2022-06-01,olr_anomaly,1.1804
2022-06-02,olr_anomaly,1.1804
2022-06-03,olr_anomaly,1.1804
2022-06-04,olr_anomaly,1.1709
2022-06-05,olr_anomaly,1.1709
2022-06-06,olr_anomaly,1.1558
2022-06-07,olr_anomaly,1.1641
2022-06-08,coastal_convergence_index,0.9417
2022-06-09,coastal_convergence_index,0.932
2022-06-10,rainfall_anomaly,8.0474
2022-06-11,zonal_shear_850,1.1887
2022-06-12,zonal_shear_850,-3.3058
2022-06-13,zonal_shear_850,-3.5128
2022-06-14,zonal_shear_850,-3.3376
2022-06-15,zonal_shear_850,1.217
2022-06-16,zonal_shear_850,-3.1134
2022-06-17,zonal_shear_850,-4.9264
2022-06-18,zonal_shear_850,-2.6648
2022-06-19,rainfall_anomaly,7.2476
2022-06-20,rainfall_anomaly,8.0534
2022-06-21,rainfall_anomaly,8.0474
2022-06-22,rainfall_anomaly,8.0474
2022-06-23,coastal_convergence_index,0.932
2022-06-24,orographic_index,1.3515
2022-06-25,coastal_convergence_index,2.0319
2022-06-26,coastal_convergence_index,0.9367
2022-06-27,lps_flag,10.3325
2022-06-28,lps_flag,10.3325
2022-06-29,olr_anomaly,1.171
2022-06-30,olr_anomaly,1.1804
2022-07-01,olr_anomaly,1.1804
2022-07-02,olr_anomaly,1.171
2022-07-03,olr_anomaly,1.171
2022-07-04,olr_anomaly,1.171
2022-07-05,olr_anomaly,1.171
2022-07-06,olr_anomaly,1.171
