date,feature,attribution_value
2021-06-01,mslp_anomaly,0.6819
2021-06-01,olr_anomaly,1.1804
2021-06-01,satellite_proxy,0.6749
2021-06-01,rainfall_anomaly,0.0907
2021-06-01,lps_flag,-0.0105
2021-06-01,wd_flag,0.0
2021-06-01,trough_position_lat,-0.0284
2021-06-01,zonal_shear_850,0.7944
2021-06-01,orographic_index,0.9297
2021-06-01,coastal_convergence_index,0.2567
2021-06-02,mslp_anomaly,0.5808
2021-06-02,olr_anomaly,1.1804
2021-06-02,satellite_proxy,0.6749
2021-06-02,rainfall_anomaly,0.0907
2021-06-02,lps_flag,-0.0105
2021-06-02,wd_flag,0.0
2021-06-02,trough_position_lat,0.035
2021-06-02,zonal_shear_850,0.7944
2021-06-02,orographic_index,0.9377
2021-06-02,coastal_convergence_index,0.2866
2021-06-03,mslp_anomaly,0.6819
2021-06-03,olr_anomaly,1.1697
2021-06-03,satellite_proxy,0.6755
2021-06-03,rainfall_anomaly,0.0907
2021-06-03,lps_flag,-0.0105
2021-06-03,wd_flag,0.0
2021-06-03,trough_position_lat,-0.0284
2021-06-03,zonal_shear_850,0.7944
2021-06-03,orographic_index,0.9387
2021-06-03,coastal_convergence_index,0.1979
2021-06-04,mslp_anomaly,0.6503
2021-06-04,olr_anomaly,1.1419
2021-06-04,satellite_proxy,0.6774
2021-06-04,rainfall_anomaly,0.0727
2021-06-04,lps_flag,-0.0105
2021-06-04,wd_flag,0.0
2021-06-04,trough_position_lat,-0.0284
2021-06-04,zonal_shear_850,0.7944
2021-06-04,orographic_index,0.5344
2021-06-04,coastal_convergence_index,0.2392
2021-06-05,mslp_anomaly,0.6819
2021-06-05,olr_anomaly,1.0047
2021-06-05,satellite_proxy,0.6747
2021-06-05,rainfall_anomaly,0.1189
2021-06-05,lps_flag,-0.0105
2021-06-05,wd_flag,0.0
2021-06-05,trough_position_lat,-0.0284
2021-06-05,zonal_shear_850,0.6447
2021-06-05,orographic_index,1.1211
2021-06-05,coastal_convergence_index,0.3629
2021-06-06,mslp_anomaly,0.6928
2021-06-06,olr_anomaly,1.0001
2021-06-06,satellite_proxy,0.6746
2021-06-06,rainfall_anomaly,0.1176
2021-06-06,lps_flag,-0.0105
2021-06-06,wd_flag,0.0
2021-06-06,trough_position_lat,-0.0284
2021-06-06,zonal_shear_850,0.6447
2021-06-06,orographic_index,1.1192
2021-06-06,coastal_convergence_index,0.36
2021-06-07,mslp_anomaly,0.7144
2021-06-07,olr_anomaly,1.1406
2021-06-07,satellite_proxy,0.6271
2021-06-07,rainfall_anomaly,-0.0375
2021-06-07,lps_flag,-0.0105
2021-06-07,wd_flag,0.0
2021-06-07,trough_position_lat,-0.0284
2021-06-07,zonal_shear_850,0.7157
2021-06-07,orographic_index,1.0914
2021-06-07,coastal_convergence_index,0.3572
